734;Todo Amor Que Houver Nesta Vida;1;7
735;Metrô. Linha 743;1;7
736;Nós (Ao Vivo);1;7
737;Na Cadência Do Samba;1;7
738;Admirável Gado Novo;1;7
739;Eleanor Rigby;1;7
740;Socorro;1;7
741;Blues Da Piedade;1;7
742;Rubens;1;7
743;Não Deixe O Samba Morrer - Cassia Eller e Alcione;1;7
744;Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos);1;7
745;Comin' Home;1;1
746;Lady Luck;1;1
747;Gettin' Tighter;1;1
748;Dealer;1;1
749;I Need Love;1;1
750;Drifter;1;1
751;Love Child;1;1
752;This Time Around / Owed to 'G' [Instrumental];1;1
753;You Keep On Moving;1;1
754;Speed King;1;1
755;Bloodsucker;1;1
756;Child In Time;1;1
757;Flight Of The Rat;1;1
758;Into The Fire;1;1
759;Living Wreck;1;1
760;Hard Lovin' Man;1;1
761;Fireball;1;1
762;No No No;1;1
763;Strange Kind Of Woman;1;1
764;Anyone's Daughter;1;1
765;The Mule;1;1
766;Fools;1;1
767;No One Came;1;1
768;Knocking At Your Back Door;1;1
769;Bad Attitude;1;1
770;Child In Time (Son Of Aleric - Instrumental);1;1
771;Nobody's Home;1;1
772;Black Night;1;1
773;Perfect Strangers;1;1
774;The Unwritten Law;1;1
775;Call Of The Wild;1;1
776;Hush;1;1
777;Smoke On The Water;1;1
778;Space Trucking;1;1
779;Highway Star;1;1
780;Maybe I'm A Leo;1;1
781;Pictures Of Home;1;1
782;Never Before;1;1
783;Smoke On The Water;1;1
784;Lazy;1;1
785;Space Truckin;1;1
786;Vavoom : Ted The Mechanic;1;1
787;Loosen My Strings;1;1
788;Soon Forgotten;1;1
789;Sometimes I Feel Like Screaming;1;1
790;Cascades : I'm Not Your Lover;1;1
791;The Aviator;1;1
792;Rosa's Cantina;1;1
793;A Castle Full Of Rascals;1;1
794;A Touch Away;1;1
795;Hey Cisco;1;1
796;Somebody Stole My Guitar;1;1
797;The Purpendicular Waltz;1;1
798;King Of Dreams;1;1
799;The Cut Runs Deep;1;1
800;Fire In The Basement;1;1
801;Truth Hurts;1;1
802;Breakfast In Bed;1;1
803;Love Conquers All;1;1
804;Fortuneteller;1;1
805;Too Much Is Not Enough;1;1
806;Wicked Ways;1;1
807;Stormbringer;1;1
808;Love Don't Mean a Thing;1;1
809;Holy Man;1;1
810;Hold On;1;1
811;Lady Double Dealer;1;1
812;You Can't Do it Right (With the One You Love);1;1
813;High Ball Shooter;1;1
814;The Gypsy;1;1
815;Soldier Of Fortune;1;1
816;The Battle Rages On;1;1
817;Lick It Up;1;1
818;Anya;1;1
819;Talk About Love;1;1
820;Time To Kill;1;1
821;Ramshackle Man;1;1
822;A Twist In The Tail;1;1
823;Nasty Piece Of Work;1;1
824;Solitaire;1;1
825;One Man's Meat;1;1
826;Pour Some Sugar On Me;1;1
827;Photograph;1;1
828;Love Bites;1;1
829;Let's Get Rocked;1;1
830;Two Steps Behind [Acoustic Version];1;1
831;Animal;1;1
832;Heaven Is;1;1
833;Rocket;1;1
834;When Love & Hate Collide;1;1
835;Action;1;1
836;Make Love Like A Man;1;1
837;Armageddon It;1;1
838;Have You Ever Needed Someone So Bad;1;1
839;Rock Of Ages;1;1
840;Hysteria;1;1
841;Bringin' On The Heartbreak;1;1
842;Roll Call;1;2
843;Otay;1;2
844;Groovus Interruptus;1;2
845;Paris On Mine;1;2
846;In Time;1;2
847;Plan B;1;2
848;Outbreak;1;2
849;Baltimore, DC;1;2
850;Talkin Loud and Saying Nothin;1;2
851;Pétala;1;7
852;Meu Bem-Querer;1;7
853;Cigano;1;7
854;Boa Noite;1;7
855;Fato Consumado;1;7
856;Faltando Um Pedaço;1;7
857;Álibi;1;7
858;Esquinas;1;7
859;Se...;1;7
860;Eu Te Devoro;1;7
861;Lilás;1;7
862;Acelerou;1;7
863;Um Amor Puro;1;7
864;Samurai;1;7
865;Nem Um Dia;1;7
866;Oceano;1;7
867;Açai;1;7
868;Serrado;1;7
869;Flor De Lis;1;7
870;Amar É Tudo;1;7
871;Azul;1;7
872;Seduzir;1;7
873;A Carta;1;7
874;Sina;1;7
875;Acelerou;1;7
876;Um Amor Puro;1;7
877;O Bêbado e a Equilibrista;1;7
878;O Mestre-Sala dos Mares;1;7
879;Atrás da Porta;1;7
880;Dois Pra Lá, Dois Pra Cá;1;7
881;Casa no Campo;1;7
882;Romaria;1;7
883;Alô, Alô, Marciano;1;7
884;Me Deixas Louca;1;7
885;Fascinação;1;7
886;Saudosa Maloca;1;7
887;As Aparências Enganam;1;7
888;Madalena;1;7
889;Maria Rosa;1;7
890;Aprendendo A Jogar;1;7
891;Layla;1;6
892;Badge;1;6
893;I Feel Free;1;6
894;Sunshine Of Your Love;1;6
895;Crossroads;1;6
896;Strange Brew;1;6
897;White Room;1;6
898;Bell Bottom Blues;1;6
899;Cocaine;1;6
900;I Shot The Sheriff;1;6
901;After Midnight;1;6
902;Swing Low Sweet Chariot;1;6
903;Lay Down Sally;1;6
904;Knockin On Heavens Door;1;6
905;Wonderful Tonight;1;6
906;Let It Grow;1;6
907;Promises;1;6
908;I Can't Stand It;1;6
909;Signe;1;6
910;Before You Accuse Me;1;6
911;Hey Hey;1;6
912;Tears In Heaven;1;6
913;Lonely Stranger;1;6
914;Nobody Knows You When You're Down & Out;1;6
915;Layla;1;6
916;Running On Faith;1;6
917;Walkin' Blues;1;6
